local family body tail mid ilab slab post
INLAND 686 160 81 21 20 18 6
INLAND 686 161 82 21 20 16 6
INLAND 686 164 81 21 20 17 6
INLAND 686 166 77 19 18 15 6
INLAND 686 166 80 21 19 16 6
INLAND 686 168 81 21 20 16 6
INLAND 687 161 78 19 20 16 7
INLAND 687 160 82 21 20 16 8
INLAND 687 162 73 21 20 16 7
INLAND 687 165 78 19 20 16 6
INLAND 687 168 79 19 20 16 6
INLAND 687 170 78 19 20 16 6
INLAND 687 171 75 19 20 16 6
INLAND 687 171 84 19 20 16 6
INLAND 693 165 82 21 20 16 6
INLAND 693 165 76 19 20 16 6
INLAND 693 165 76 19 20 16 6
INLAND 693 165 84 21 20 16 6
INLAND 693 169 79 21 20 16 6
INLAND 693 170 76 19 20 15 6
INLAND 693 171 79 21 19 16 6
INLAND 697 169 82 19 20 16 6
INLAND 697 166 84 21 21 16 6
INLAND 697 167 78 21 20 16 5
INLAND 697 169 86 21 20 16 6
INLAND 697 169 89 21 21 16 7
INLAND 697 170 79 21 20 16 6
INLAND 697 170 82 21 20 16 6
INLAND 698 165 80 21 20 17 7
INLAND 698 166 84 21 20 16 8
INLAND 698 168 79 19 20 16 7
INLAND 698 167 78 19 20 16 6
INLAND 698 169 81 21 20 15 8
INLAND 698 169 83 19 20 14 6
INLAND 703  NA 86 21 20 16 6
INLAND 703 164 79 21 20 16 6
INLAND 703 167 83 21 20 16 6
INLAND 703 168 83 21 20 16 6
INLAND 703 168 83 21 20 16 6
INLAND 703 169 85 21 20 15 6
INLAND 703 167 85 21 20 16 6
INLAND 703 169 85 21 20 16 6
INLAND 703 171 81 21 20 16 6
INLAND 703 173 83 21 20 16 6
INLAND 703 174 84 21 20 16 7
INLAND 704 167 83 21 20 15 6
INLAND 704 164 76 19 20 16 6
INLAND 704 169 75 21 20 16 6
INLAND 704 173 77 21 20 16 6
INLAND 711 169 83 21 21 16 7
INLAND 711 161 79 21 20 16 5
INLAND 711 167 81 21 23 16 7
INLAND 711 168 77 21 22 16 6
INLAND 711 168 84 21 20 17 6
INLAND 711 169 75 19 20 16 8
INLAND 711 169 86 21 20 16 8
INLAND 711 171 81 21 20 16 6
INLAND 712 162 75 21 20 16 7
INLAND 712 157 79 19 20 14 6
INLAND 712 160 81 21 20 16 6
INLAND 712 161 80 21 20 16 6
INLAND 712 162 74 21 20 15 6
INLAND 713 168 75 21 20 16 7
INLAND 713 165 80 19 20 16 6
INLAND 713 165 80 19 20 16 6
INLAND 713 166 76 19 20 16 6
INLAND 713 166 78 21 20 16 6
INLAND 713 166 80 21 24 16 6
INLAND 713 166 81 21 20 16 6
INLAND 713 167 78 21 20 16 6
INLAND 713 168 79 21 20 16 7
INLAND 720 160 79 19 20 16 6
INLAND 720 161 81 21 20 16 4
INLAND 720 163 78 21 20 16 6
INLAND 720 164 76 21 20 16 4
INLAND 720 165 78 21 19 15 6
INLAND 720 165 80 21 20 15 6
INLAND 720 165 80 21 20 16 5
INLAND 720 170 77 19 19 15 4
INLAND 724 166 NA 21 19 16 6
INLAND 724 162 81 21 20 15 7
INLAND 724 165 83 21 20 16 5
INLAND 724 166 83 21 20 16 6
INLAND 724 165 78 19 21 16 6
